Mouse ID,Hole Punch,Genetic Background,Gender,DOB,Age,Date Weaned,Parent Crossing,Strain 1,Strain 2,Strain 3,GeNtype 1,GeNtype 2,GeNtype 3,Experiments? ,Euthanized ,Date of Euth.,Notes from Book:,,,Red Hole Punch indicates there was Nt a designation listed inside the Ntebook but added to the spreadsheet based on how Cong Nrmally does his numbering and hole punches,,,,,
980,B,,Female,10/3/2022,619,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
981,2R,,Male,10/3/2022,619,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
982,2L,,Male,10/3/2022,619,,,Trpa1-KO,,,-/-,,,,Y,,,,,,,,,,
983,R,,Female,10/4/2022,618,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
984,L,,Female,10/4/2022,618,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
985,B,,Female,10/4/2022,618,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
986,R,,Male,10/4/2022,618,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
987,L,,Male,10/4/2022,618,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
988,B,,Male,10/4/2022,618,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
989,R,,Female,9/7/2022,645,,,Trpv1-KO,,,-/-,,,,Y,,,,,,,,,,
990,L,,Female,9/7/2022,645,,,Trpv1-KO,,,-/-,,,,Y,,,,,,,,,,
991,B,,Female,9/7/2022,645,,,Trpv1-KO,,,-/-,,,,Y,,,,,,,,,,
992,2R,,Female,9/7/2022,645,,,Trpv1-KO,,,-/-,,,,Y,,,,,,,,,,
993,2L,,Female,9/7/2022,645,,,Trpv1-KO,,,-/-,,,,Y,,,,,,,,,,
994,2R1L,,Female,9/7/2022,645,,,Trpv1-KO,,,-/-,,,,Y,,,,,,,,,,
995,2R2L,,Female,9/7/2022,645,,,Trpv1-KO,,,-/-,,,,Y,,,,,,,,,,
996,R,,Male,9/7/2022,645,,,Trpv1-KO,,,-/-,,,,Y,,,,,,,,,,
997,L,,Male,9/7/2022,645,,,Trpv1-KO,,,-/-,,,,Y,,,,,,,,,,
998,R,,Female,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,,KI/KI,,,Y,,,,,,,,,,
999,L,,Female,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,,KI/+,,,Y,,,,,,,,,,
1000,B,,Female,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,+/-,KI/KI,,,Y,,,,,,,,,,
1001,2R,,Female,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,,KI/+,,,Y,,,,,,,,,,
1002,R,,Female,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,+/-,KI/KI,,,Y,,,,,,,,,,
1003,L,,Female,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,,KI/KI,,,Y,,,,,,,,,,
1004,B,,Female,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,,KI/+,,,Y,,,,,,,,,,
1005,2R,,Female,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,+/-,KI/+,,,Y,,,,,,,,,,
1006,R,,Male,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,+/-,KI/+,,,Y,,,,,,,,,,
1007,L,,Male,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,,KI/+,,,Y,,,,,,,,,,
1008,B,,Male,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,+/-,KI/+,,,Y,,,,,,,,,,
1009,2R,,Male,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,+/-,KI/+,,,Y,,,,,,,,,,
1010,R,,Male,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,+/-,KI/+,,,Y,,,,,,,,,,
1011,L,,Male,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,+/-,KI/+,,,Y,,,,,,,,,,
1012,B,,Male,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,+/-,KI.KI,,,Y,,,,,,,,,,
1013,2R,,Male,9/29/2022,623,,,Trpv1-KO,B6N-Cdh23-KI,,,KI/KI,,,Y,,,,,,,,,,
1014,R,,Female,8/28/2022,655,,MyD88 loxp/loxp/808,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1015,L,,Female,8/28/2022,655,,MyD88 loxp/loxp/808,Pax2-Cre,Myd88-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
1016,R,,Male,8/28/2022,655,,MyD88 loxp/loxp/808,Pax2-Cre,Myd88-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
1017,L,,Male,8/28/2022,655,,MyD88 loxp/loxp/808,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1018,B,,Male,8/28/2022,655,,MyD88 loxp/loxp/808,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1019,2R,,Male,8/28/2022,655,,MyD88 loxp/loxp/808,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1020,2L,,Male,8/28/2022,655,,MyD88 loxp/loxp/808,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1021,R,,Female,9/8/2022,644,,MyD88 loxp/+/805,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1022,L,,Female,9/8/2022,644,,MyD88 loxp/+/805,Pax2-Cre,Myd88-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
1023,B,,Female,9/8/2022,644,,MyD88 loxp/+/805,Pax2-Cre,Myd88-loxp,,Cre -,+/+,,,Y,,,,,,,,,,
1024,2R,,Female,9/8/2022,644,,MyD88 loxp/+/805,Pax2-Cre,Myd88-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
1025,R,,Male,9/8/2022,644,,MyD88 loxp/+/805,Pax2-Cre,Myd88-loxp,,Cre +,+/+,,,Y,,,,,,,,,,
1026,L,,Male,9/8/2022,644,,MyD88 loxp/+/805,Pax2-Cre,Myd88-loxp,,Cre +,+/+,,,Y,,,,,,,,,,
1027,B,,Male,9/8/2022,644,,MyD88 loxp/+/805,Pax2-Cre,Myd88-loxp,,Cre +,+/+,,,Y,,,,,,,,,,
1028,2R,,Male,9/8/2022,644,,MyD88 loxp/+/805,Pax2-Cre,Myd88-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
1029,2L,,Male,9/8/2022,644,,MyD88 loxp/+/805,Pax2-Cre,Myd88-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
1030,R,,Female,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1031,L,,Female,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1032,B,,Female,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1033,2R,,Female,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1034,2L,,Female,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1035,2R2L,,Female,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1036,R,,Male,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1037,L,,Male,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1038,B,,Male,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1039,2R,,Male,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1040,2L,,Male,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1041,2R1L,,Male,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1042,2R2L,,Male,9/25/2022,627,,MyD88 loxp/loxp/807,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1043,R,,Female,9/26/2022,626,,MyD88 loxp/loxp/819,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1044,L,,Female,9/26/2022,626,,MyD88 loxp/loxp/819,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1045,B,,Female,9/26/2022,626,,MyD88 loxp/loxp/819,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1046,R,,Male,9/26/2022,626,,MyD88 loxp/loxp/819,Pax2-Cre,Myd88-loxp,,,loxp/+,,,Y,,,,,,,,,,
1047,L,,Male,9/26/2022,626,,MyD88 loxp/loxp/819,Pax2-Cre,Myd88-loxp,,,loxp+,,,Y,,,,,,,,,,
1048,B,,Male,9/26/2022,626,,MyD88 loxp/loxp/819,Pax2-Cre,Myd88-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1049,R,,Male,8/25/2022,70,,,Tlr4-KO,,,,,,,,11/3/2022,,,,,,,,,
1050,R,,Female,8/25/2022,658,,,,,,,,,,Y,,,,,,,,,,
1051,R,,Female,8/25/2022,658,,,,,,,,,,Y,,,,,,,,,,
1052,R,,Female,9/11/2022,641,,,Pcdh15,,,+/-,,,,Y,,,,,,,,,,
1053,L,,Female,9/11/2022,641,,,Pcdh15,,,+/-,,,,Y,,,,,,,,,,
1054,R,,Male,9/11/2022,641,,,Pcdh15,,,-/-,,,,Y,,,,,,,,,,
1055,R,,Female,9/24/2022,628,,,Pcdh15,,,+/-,,,,Y,,,,,,,,,,
1056,L,,Female,9/24/2022,628,,,Pcdh15,,,+/-,,,,Y,,,,,,,,,,
1057,R,,Male,9/24/2022,628,,,Pcdh15,,,-/-,,,,Y,,,,,,,,,,
1058,R,,Female,8/16/2022,667,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
1059,L,,Female,8/16/2022,667,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
1060,R,,Male,8/16/2022,667,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
1061,R,,Female,8/16/2022,667,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
1062,R,,Male,8/16/2022,667,,,Tlr3-KO,,,-/-,,,,Y,,,,,,,,,,
1063,R,,Female,10/24/2022,598,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1064,L,,Female,10/24/2022,598,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1065,B,,Female,10/24/2022,598,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1066,R,,Male,10/24/2022,598,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
1067,L,,Male,10/24/2022,598,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1068,B,,Male,10/24/2022,598,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
1069,2R,,Male,10/24/2022,598,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1070,R,,Female,10/28/2022,594,,TLR4-loxp/loxp/790,Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1071,R,,Male,10/28/2022,594,,TLR4-loxp/loxp/790,Pax2-Cre,Tlr4-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1072,L,,Male,10/28/2022,594,,TLR4-loxp/loxp/790,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
1073,R,,Female,11/5/2022,586,,791/797,Pax2-Cre,Tlr4-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1074,L,,Female,11/5/2022,586,,791/797,Pax2-Cre,Tlr4-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1075,B,,Female,11/5/2022,586,,791/797,Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1076,R,,Male,11/5/2022,586,,791/797,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
1077,L,,Male,11/5/2022,586,,791/797,Pax2-Cre,Tlr4-loxp,,,+/+,,,Y,,,,,,,,,,
1078,B,,Male,11/5/2022,586,,791/797,Pax2-Cre,Tlr4-loxp,,Cre +,+/+,,,Y,,,,,,,,,,
1079,2R,,Male,11/5/2022,586,,791/797,Pax2-Cre,Tlr4-loxp,,Cre +,+/+,,,Y,,,,,,,,,,
1080,2L,,Male,11/5/2022,586,,791/797,Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
1081,R,,Female,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
1082,L,,Female,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1083,B,,Female,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1084,2R,,Female,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1085,2L,,Female,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1086,R,,Male,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1087,L,,Male,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1088,B,,Male,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1089,2R,,Male,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
1090,2L,,Male,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1091,R,,Male,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,Cre +,loxp/loxp,,,Y,,,,,,,,,,
1092,L,,Male,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/loxp,,,Y,,,,,,,,,,
1093,B,,Male,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1094,2R,,Male,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,,loxp/+,,,Y,,,,,,,,,,
1095,2L,,Male,11/7/2022,584,,"826, 827, 828/798",Pax2-Cre,Tlr4-loxp,,Cre +,loxp/+,,,Y,,,,,,,,,,
1096,R,,Female,11/3/2022,588,,,Tlr4-KO,,,,,,,Y,,,,,,,,,,
1097,R,,Male,11/3/2022,588,,,Tlr4-KO,,,,,,,Y,,,,,,,,,,
1098,R,,Female,11/30/2022,561,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre -,,,,Y,,?,,,,,,,,
1099,L,,Female,11/30/2022,561,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre -,,,,Y,,?,,,,,,,,
1100,B,,Female,11/30/2022,111,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre -,,,,Y,3/21/2023,?,,,,,,,,
1101,2R,,Female,11/30/2022,111,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre -,,,,Y,3/21/2023,?,,,,,,,,
1102,2L,,Female,11/30/2022,111,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre +,,,,Y,3/21/2023,,,,,,,,,
1103,2R1L,,Female,11/30/2022,111,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre +,,,,Y,3/21/2023,,,,,,,,,
1104,2R2L,,Female,11/30/2022,111,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre +,,,,Y,3/21/2023,,,,,,,,,
1105,R,,Male,11/30/2022,43,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,,,,,Y,1/12/2023,,,,,,,,,
1106,L,,Male,11/30/2022,43,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,,,,,Y,1/12/2023,,,,,,,,,
1107,B,,Male,11/30/2022,43,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,,,,,Y,1/12/2023,,,,,,,,,
1108,2R,,Male,11/30/2022,43,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre -,,,,Y,1/12/2023,,,,,,,,,
1109,2L,,Male,11/30/2022,43,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre -,,,,Y,1/12/2023,,,,,,,,,
1110,2R1L,,Male,11/30/2022,561,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre -,,,,Y,,,,,,,,,,
1111,2R2L,,Male,11/30/2022,561,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre +,,,,Y,,?,,,,,,,,
1112,R,,Female,11/30/2022,561,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre +,,,,Y,,,,,,,,,,
1113,R,,Male,11/30/2022,43,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre -,,,,,1/12/2023,,,,,,,,,
1114,L,,Male,11/30/2022,561,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre +,,,,Y,,?,,,,,,,,
1115,R,,Female,12/19/2022,80,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,,,,,Y,3/9/2023,"Whole Mount, ?",,,,,,,,
1116,L,,Female,12/19/2022,80,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,,,,,Y,3/9/2023,"Whole Mount, ?",,,,,,,,
1117,B,,Female,12/19/2022,80,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre +,,,,Y,3/9/2023,Whole Mount,,,,,,,,
1118,2R,,Female,12/19/2022,24,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,,,,,Y,1/12/2023,,,,,,,,,
1119,R,,Male,12/19/2022,542,,"1050, 1051/857",Pax2-Cre,Tlr4-loxp,,Cre -,,,,Y,,,,,,,,,,
1120,R,,Female,10/31/2022,73,,,Pax2-Cre,B6N-Cdh23-KI,,,,,,Y,1/12/2023,,,,,,,,,
1121,L,,Female,10/31/2022,73,,,Pax2-Cre,B6N-Cdh23-KI,,Cre -,,,,Y,1/12/2023,,,,,,,,,
1122,B,,Female,10/31/2022,73,,,Pax2-Cre,B6N-Cdh23-KI,,,,,,Y,1/12/2023,,,,,,,,,
1123,2R,,Female,10/31/2022,73,,,Pax2-Cre,B6N-Cdh23-KI,,Cre +,,,,Y,1/12/2023,,,,,,,,,
1124,2L,,Female,10/31/2022,73,,,Pax2-Cre,B6N-Cdh23-KI,,Cre +,,,,Y,1/12/2023,,,,,,,,,
1125,R,,Male,10/31/2022,591,,,Pax2-Cre,B6N-Cdh23-KI,,Cre +,,,,Y,,,,,,,,,,
1126,L,,Male,10/31/2022,591,,,Pax2-Cre,B6N-Cdh23-KI,,Cre +,,,,Y,,,,,,,,,,
1127,R,,Female,11/18/2022,55,,"858, 860/Cdh23 KI/KI",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,Cre +,,,,Y,1/12/2023,,,,,,,,,
1128,L,,Female,11/18/2022,55,,"858, 860/Cdh23 KI/KI",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,Cre +,,,,Y,1/12/2023,,,,,,,,,
1129,B,,Female,11/18/2022,55,,"858, 860/Cdh23 KI/KI",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,,,Y,1/12/2023,,,,,,,,,
1130,2R,,Female,11/18/2022,55,,"858, 860/Cdh23 KI/KI",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,,,Y,1/12/2023,,,,,,,,,
1131,2L,,Female,11/18/2022,55,,"858, 860/Cdh23 KI/KI",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,,,Y,1/12/2023,,,,,,,,,
1132,R,,Male,11/18/2022,55,,"858, 860/Cdh23 KI/KI",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,,,Y,1/12/2023,,,,,,,,,
1133,L,,Male,11/18/2022,573,,"858, 860/Cdh23 KI/KI",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,Cre +,,,,Y,,,,,,,,,,
1134,B,,Male,11/18/2022,55,,"858, 860/Cdh23 KI/KI",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,,,Y,1/12/2023,,,,,,,,,
1135,2R,,Male,11/18/2022,55,,"858, 860/Cdh23 KI/KI",Pax2-Cre,Tlr4-loxp,B6N-Cdh23-KI,,,,,Y,1/12/2023,,,,,,,,,
