Strain/Species,Female 1,Female 1 DOB,Female 2,Female 2 DOB,Female 3,Female 3 DOB,Male 1,Male 1 DOB,Male 2,Male 2 DOB,Date Bred,DOB of Litter,# of Pups Born,Date of Weaning,# of Pups Weaned,# of Females,# of Males,,Animals IDs that are crossed out have been euthanized
B6N-Cdh23 KI,2322,7/13/2023, , , , ,2323,7/13/2023, , ,11/3/2023,12/11/2023,8,12/31/2023,8,4,4,,
B6N-Cdh23 KI,2322,7/13/2023, , , , ,2323,7/13/2023, , ,11/3/2023,12/31/2023,4,Found Dead,Found Dead, , ,,
B6N-Cdh23 KI,2322,7/13/2023, , , , ,2323,7/13/2023, , ,11/3/2023,1/20/2024,8,2/13/2024,8, , ,,
B6N-Cdh23 KI,2322,7/13/2023, , , , ,2323,7/13/2023, , ,11/3/2023,2/12/2024,4,3/5/2024,4, , ,,
B6N-Cdh23 KI,2322,7/13/2023, , , , ,2323,7/13/2023, , ,11/3/2023,3/4/2024,3,Found Dead,Found Dead, , ,,
B6N-Cdh23 KI,2324,9/7/2023, , , , ,2325,9/7/2023, , ,10/23/2023,11/15/2023,5,12/12/2023,5, , ,,
B6N-Cdh23 KI,2324,9/7/2023, , , , ,2325,9/7/2023, , ,10/23/2023,1/2/2024,9,2/6/2024,7, , ,,
B6N-Cdh23 KI,2324,9/7/2023, , , , ,2325,9/7/2023, , ,10/23/2023,1/26/2024,Found Dead,Found Dead,Found Dead, , ,,
B6N-Cdh23 KI,2324,9/7/2023, , , , ,2325,9/7/2023, , ,10/23/2023,2/26/2024,4,Found Dead,Found Dead, , ,,
B6N-Cdh23 KI,2326,9/7/2023, , , , ,2327,9/7/2023, , ,10/23/2023,11/16/2023,8,12/12/2023,8, , ,,
B6N-Cdh23 KI,2326,9/7/2023, , , , ,2327,9/7/2023, , ,10/23/2023,12/11/2023,Found Dead,Found Dead,Found Dead, , ,,
B6N-Cdh23 KI,2326,9/7/2023, , , , ,2327,9/7/2023, , ,10/23/2023,1/15/2024,9,2/8/2024,9,4,5,,
B6N-Cdh23 KI,2326,9/7/2023, , , , ,2327,9/7/2023, , ,10/23/2023,2/29/2024,3,Found Dead,Found Dead, , ,,
B6N-Cdh23 KI,2326,9/7/2023, , , , ,2327,9/7/2023, , ,10/23/2023,2/8/2024,7,3/1/2024,7, , ,,
B6N-Cdh23 KI,2377,1/15/2024, , , , ,2381,1/15/2024, , ,3/19/2024,4/29/2024,8,5/20/2024,8,5,3,,
B6N-Cdh23 KI,2378,1/15/2024, , , , ,2382,1/15/2024, , ,3/19/2024,4/9/2024,6,5/1/2024,6,2,4,,
B6N-Cdh23 KI,2378,1/15/2024, , , , ,2382,1/15/2024, , ,3/19/2024,5/1/2024,10,5/21/2024,8,2,6,,
B6N-Cdh23 KI,2378,1/15/2024, , , , ,2382,1/15/2024, , ,3/19/2024,5/22/2024,6,6/12/2024,5,2,3,,
C57BL/6J,2663,1/11/2024, , , , ,2665,1/11/2024, , ,3/13/2024,4/17/2024,6,5/20/2024,6,3,3,,
C57BL/6J,2663,1/11/2024, , , , ,2665,1/11/2024, , ,3/13/2024,5/4/2024,7,Found Dead,Found Dead,,,,
C57BL/6J,2664,1/11/2024, , , , ,2666,1/11/2024, , ,3/13/2024,4/8/2024,7,4/29/2024,7,3,4,,
C57BL/6J,2664,1/11/2024, , , , ,2666,1/11/2024, , ,3/13/2024,4/29/2024,6,Found Dead,Found Dead, , ,,
C57BL/6J,2664,1/11/2024, , , , ,2666,1/11/2024, , ,3/13/2024,5/16/2024,5,6/10/2024,5,4,1,,
C57BL/6J; Dp16,2660,1/11/2024, , , , ,2213,1/12/2024, , ,3/13/2024,4/5/2024,6,4/22/2024,6,3,3,,
C57BL/6J; Dp16,2660,1/11/2024, , , , ,2213,1/12/2024, , ,3/13/2024,5/10/2024,5,6/6/2024,5,2,3,,
C57BL/6J; Dp16,2661,1/11/2024, , , , ,2217,1/12/2024, , ,3/13/2024,4/5/2024,6,4/22/2024,6,2,4,,
C57BL/6J; Dp16,2661,1/11/2024, , , , ,2217,1/12/2024, , ,3/13/2024,4/24/2024,3,5/16/2024,2,1,1,,
C57BL/6J; Dp16,2661,1/11/2024, , , , ,2217,1/12/2024, , ,3/13/2024,5/15/2024,7,6/6/2024,4,2,,,
C57BL/6J; Dp16,2662,1/11/2024, , , , ,2222,1/1/2024, , ,3/13/2024,4/9/2024, ,Found Dead,Found Dead, , ,,
C57BL/6J; Dp16,2662,1/11/2024, , , , ,2222,1/1/2024, , ,3/13/2024,5/6/2024,4,5/30/2024,4,2,2,,
Cachd1 KO,1300,12/27/2022, , , , ,1302,12/27/2022, , , ,5/25/2023, , ,2,1,1,,
Cachd1 KO,1454,8/20/2022, , , , ,1455,8/20/2022, , , ,3/28/2023, , ,2,1,1,,
Cachd1 KO,1456,2/13/2023,1457,2/13/2023, , ,1458,2/13/2023, , , ,6/2/2023, , ,6,3,3,,
Cachd1 KO,1743,5/25/2023, , , , ,1744,5/25/2023, , , ,7/31/2023,2,8/25/2023,2, , ,,
Cachd1 KO,1743,5/25/2023, , , , ,1744,5/25/2023, , , ,9/10/2023,8,10/5/2023,4,2,2,,
Cachd1 KO,1743,5/25/2023, , , , ,1744,5/25/2023, , , ,12/16/2023,5,1/9/2024,2,1,1,,
Cachd1 KO,2399,9/10/2023, , , , ,2400,9/10/2023, , ,1/9/2024, , , , , , ,,
Cachd1 KO,2401,9/10/2023, , , , ,2402,9/10/2023, , ,1/9/2024, , , , , ,0,,
Cachd1 KO,2403,12/16/2023, , , , ,2404,12/16/2023, , ,2/19/2024,3/13/2024,5,4/5/2024,5,3,2,,
Cachd1 KO,2403,12/16/2023, , , , ,2404,12/16/2023, , ,2/19/2024,5/6/2024,8,5/28/2024,8,3,5,,
Dp16,2098,8/8/2023, , , , ,2074,8/8/2023, , ,11/9/2023,11/28/2023,9,12/20/2023,9,3,6,,
Dp16,2098,8/8/2023, , , , ,2074,8/8/2023, , ,11/9/2023,12/28/2023,6,1/19/2024,6,3,3,,
Dp16,2098,8/8/2023, , , , ,2074,8/8/2023, , ,11/9/2023,3/19/2024,12,4/2/2024,12,Too small to determine,Too small to determine,,
Dp16,2098,8/8/2023, , , , ,2074,8/8/2023, , ,11/9/2023,2/4/2024,11,2/27/2024,11,5,6,,
Dp16,2098,8/8/2023, , , , ,2074,8/8/2023, , ,11/9/2023,4/30/2024,3,5/20/2024,3,2,1,,
Dp16,2099,8/8/2023, , , , ,2076,8/22/2023, , ,11/9/2023,11/28/2023,7,12/22/2023,6, , ,,
Dp16,2099,8/8/2023, , , , ,2076,8/22/2023, , ,11/9/2023,3/18/2024,7,4/2/2024,7,2,5,,
Dp16,2099,8/8/2023, , , , ,2076,8/22/2023, , ,11/9/2023,5/20/2024,6,6/11/2024,6,2,4,,
Dp16,2099,8/8/2023, , , , ,2076,8/22/2023, , ,11/9/2023,4/8/2024,6,5/8/2024,2,0,2,,
Dp16,2099,8/8/2023, , , , ,2076,8/22/2023, , ,11/9/2023,1/1/2024,10,2/6/2024,9,6,3,,
Dp16,2100,8/8/2023, , , , ,2073,8/22/2023, , ,11/9/2023,11/27/2024,8,12/22/2023,8, , ,,
Dp16,2100,8/8/2023, , , , ,2073,8/22/2023, , ,11/9/2023,3/9/2024,12,3/28/2024,10,5,5,,
Dp16,2100,8/8/2023, , , , ,2073,8/22/2023, , ,11/9/2023,2/6/2024, ,Found Dead,Found Dead, , ,,
Dp16,2100,8/8/2023, , , , ,2073,8/22/2023, , ,11/9/2023,4/21/2024,12,5/15/2024,12,8,4,,
Dp16,2100,8/8/2023, , , , ,2073,8/22/2023, , ,11/9/2023,1/12/2024,10,2/6/2024,10,4,6,,
Dp16,B6, , , , , ,1614,2/14/2023,1615,2/14/2023, ,10/30/2023, , ,12,7,5,,
Dp16; Ifnr KO,1655,3/28/2023,1656,3/28/2023,,,1614,2/14/2023, , , ,7/2/2023, , ,4,2,2,,
Dp16; Ifnr KO,1655,3/28/2023,1656,3/28/2023,,,1614,2/14/2023, , , ,7/3/2023, , ,8,3,5,,
Dp16; Ifnr KO,1655,3/28/2023,1656,3/28/2023,,,1614,2/14/2023, , , ,8/22/2023, , ,9,2,7,,
Dp16; Ifnr KO,1655,3/28/2023,1656,3/28/2023,,,1614,2/14/2023, , , ,10/6/2023, , ,9,2,7,,
Dp16; Ifnr KO,1657,4/12/2023,1658,4/12/2023,1659,4/12/2023,1615,2/14/2023, , ,6/9/2023,7/2/2023, , ,9,5,4,,
Dp16; Ifnr KO,1657,4/12/2023,1658,4/12/2023,1659,4/12/2023,1615,2/14/2023, , ,6/9/2023,7/4/2023, , ,8,5,3,,
Dp16; Ifnr KO,1657,4/12/2023,1658,4/12/2023,1659,4/12/2023,1615,2/14/2023, , ,6/9/2023,9/21/2023, , ,5,2,3,,
Ifnr KO,1647,1/19/2023, , , , ,1650,3/28/2023, , , ,8/6/2023, , ,3,2,1,,
Ifnr KO,1648,1/31/2023, , , , ,1649,3/28/2023, , , ,8/8/2023, , ,8,4,4,,
Ifnr KO,1654,3/30/2023, , , , ,1652,1/16/2023, , , ,7/17/2023, , ,9,5,4,,
Ifnr KO,2094,8/6/2023,2095,8/6/2023, , ,2096,8/6/2023, , ,11/9/2023,1/11/2024,8,2/6/2024,8,2,6,,
Ifnr KO,2094,8/6/2023,2095,8/6/2023, , ,2096,8/6/2023, , ,11/9/2023,12/20/2024,6,Found Dead,Found Dead, , ,,
Ifnr KO,2094,8/6/2023,2095,8/6/2023, , ,2096,8/6/2023, , ,11/9/2023,11/28/2023,8,12/20/2023,8, , ,,
Ifnr KO,2094,8/6/2023,2095, , , ,2096,8/6/2023, , ,11/9/2023,3/10/2024,10,4/2/2024,9,5,4,,
Ifnr KO,2094,8/6/2023,2095, , , ,2096,8/6/2023, , ,11/9/2023,2/13/2024, ,Found Dead,Found Dead, , ,,
Ifnr KO,2094,8/6/2023,2095, , , ,2096,8/6/2023, , ,11/9/2023,4/24/2024,11,5/16/2024,11,4,7,,
Ifnr KO,2094,8/6/2023,2095,8/6/2023, , ,2096,8/6/2023, , ,11/9/2023,12/28/2023,5,1/19/2024,5, , ,,
Ifnr KO,2097,8/8/2023, , , , ,2104,8/8/2023, , , ,12/27/2023, , ,6,3,3,,
Ifnr KO,2094,8/6/2023,2095,8/6/2023, , ,2096,8/6/2023, , ,11/9/2023,3/7/2024,8,3/28/2024,8,4,4,,
Myd88 KO,1306,10/24/2022,1307,10/24/2022, , ,1308,10/24/2022, , , ,3/25/2023, , ,5,3,2,,
Myd88 KO,1757,3/25/2023,1758,3/25/2023, , ,1759,3/25/2023, , , ,8/10/2023, , ,6,3,3,,
Myd88 KO,1760,3/25/2023, , , , ,1761,3/25/2023, , , ,5/29/2023, , ,4,2,2,,
Myd88 KO,1760,3/25/2023, , , , ,1761,3/25/2023, , , ,8/28/2023, , ,3,2,1,,
Myd88 KO,1985,8/28/2023,1986,8/28/2023, , ,1987,8/28/2023, , ,9/22/2023,12/2/2023,5,12/28/2023,4,2,2,,
Myd88 KO,1985,8/28/2023,1986,8/28/2023, , ,1987,8/28/2023, , ,9/22/2023,10/3/2023,7,10/31/2023,7, , ,,
Myd88 KO,1985,8/28/2023,1986,8/28/2023, , ,1987,8/28/2023, , ,9/22/2023,2/27/2024,7,3/19/2024,6, , ,,
Myd88 KO,1985,8/28/2023,1986,8/28/2023, , ,1987,8/28/2023, , ,9/22/2023,1/15/2024,10,2/8/2024,10,5,2,,
Myd88 KO,2312,12/2/2023, , , , ,2314,12/2/2023, , ,3/12/2024,4/4/2024,9,4/26/2024,9,3,6,,
Myd88 KO,2313,12/2/2023, , , , ,2315,12/2/2023, , ,3/12/2024,4/2/2024,7,4/26/2024,7, ,7,,
Myd88 KO; Cdh23 KI,1180,11/7/2022, , , , ,1185,10/31/2022, , , ,2/3/2023, , ,6,3,3,,
Myd88 KO; Cdh23 KI,1413,2/3/2023, , , , ,1417,2/3/2023, , , ,4/22/2023, , ,9,4,5,,
Myd88 KO; Cdh23 KI,1661,4/22/2023, , , , ,1667,4/22/2023, , , ,7/25/2023, , ,4,2,2,,
Myd88 KO; Cdh23 KI,1662,4/22/2023, , , , ,1666,4/22/2023, , , ,7/25/2023, , ,4,2,2,,
Myd88 KO; Cdh23 KI,1992,7/25/2023,1993,7/25/2023, , ,1994,7/25/2023, , ,9/22/2023,11/25/2023,7,12/20/2023,6,4,2,,
Myd88 KO; Cdh23 KI,1992,7/25/2023,1993,7/25/2023, , ,1994,7/25/2023, , ,9/22/2023,1/24/2024,6, ,3,2,1,,
Myd88 KO; Cdh23 KI,1992,7/25/2023,1993,7/25/2023, , ,1994,7/25/2023, , ,9/22/2023,10/17/2023,4,11/19/2023,4, , ,,
Myd88 KO; Cdh23 KI,1992,7/25/2023,1993,7/25/2023, , ,1994,7/25/2023, , ,9/22/2023,11/9/2023,Found Dead,Found Dead,Found Dead, , ,,
Myd88 KO; Cdh23 KI,1992,7/25/2023,1993,7/25/2023, , ,1994,7/25/2023, , ,9/22/2023,12/20/2023,Found Dead,Found Dead,Found Dead, , ,,
Myd88 KO; Cdh23 KI,2456,11/25/2023,2457,11/25/2023, , ,2458,11/25/2023, , ,1/19/2024,4/20/2024,8, , , ,0,,
Myd88 KO; Cdh23 KI,2456,11/25/2023,2457,11/25/2023, , ,2458,11/25/2023, , ,1/19/2024,3/4/2024,3,3/25/2024,3,2,1,,
Myd88 KO; Cdh23 KI,2459,11/25/2023,2460,11/25/2023, , ,2461,11/25/2023, , ,1/19/2024,4/2/2024,3,Found Dead,Found Dead, , ,,
Myd88 KO; Cdh23 KI,2454,,,,,,2455,,,,,,,,,,,,
Myd88 KO; Cdh23 KI,2459,11/25/2023,2460,11/25/2023, , ,2461,11/25/2023, , ,1/19/2024,4/2/2024,3,Found Dead,Found Dead, ,,,
Myd88 KO; Cdh23 KI,2459,11/25/2023,2460,11/25/2023, , ,2461,11/25/2023, , ,1/19/2024,2/11/2024,3,Found Dead,Found Dead, , ,,
Myd88 KO; Cdh23 KI,2459,11/25/2023,2460,11/25/2023, , ,2461,11/25/2023, , ,1/19/2024,3/5/2024,5,4/2/2024,5,1,4,,
Myd88-loxp; Cdh23 KI,886, , , , , ,Cdh23 KI/KI, , , , ,10/31/2023, , ,7,3,4,,
Myd88-loxp; Cdh23 KI,1070,10/28/2022, , , , ,1072,10/28/2022, , , ,8/2/2023, , ,4,2,2,,
Myd88-loxp; Cdh23 KI,1137,10/31/2022,1139,10/31/2022, , ,1143,10/31/2022, , , ,2/3/2023, , ,11,5,6,,
Myd88-loxp; Cdh23 KI,1137,10/31/2022,1139,10/31/2022, , ,1143,10/31/2022, , , ,3/3/2023, ,3/27/2023,9,4,5,,
Myd88-loxp; Cdh23 KI,1137,10/31/2022,1139,10/31/2022, , ,1143,10/31/2022, , , ,4/24/2023, , ,9,2,7,,
Myd88-loxp; Cdh23 KI,1179,11/7/2022, , , , ,1184,10/31/2022, , , ,1/28/2023, , ,5,4,1,,
Myd88-loxp; Cdh23 KI,2000,8/2/2023, , , , ,2002,8/2/2023, , ,9/22/2023,10/24/2023,5,11/21/2023,4,2,2,,
Myd88-loxp; Cdh23 KI,2000,8/2/2023, , , , ,2002,8/2/2023, , ,9/22/2023,1/13/2024,1,2/7/2024,1, , ,,
Myd88-loxp; Cdh23 KI,2001,8/2/2023, , , , ,2003,8/2/2023, , ,9/22/2023,10/10/2023,5,11/9/2023,5, , ,,
Myd88-loxp; Cdh23 KI,2001,8/2/2023, , , , ,2003,8/2/2023, , ,9/22/2023,11/25/2023,8,12/20/2023,6,3,3,,
Myd88-loxp; Cdh23 KI,2001,8/2/2023, , , , ,2003,8/2/2023, , ,9/22/2023,12/20/2023,6,Found Dead,Found Dead, , ,,
Myd88-loxp; Cdh23 KI,2494,11/25/2023, , , , ,2497,11/25/2023, , ,4/10/2024, , , , , , ,,
Myd88-loxp; Cdh23 KI,2493,11/25/2023, , , , ,2495,11/25/2023, , ,4/10/2024,5/2/2024,5,5/24/2024,5,3,2,,
Pax2-Cre; B6N-Cdh23 KI,1183,11/7/2022, , , , ,1133,11/18/2022, , , ,2/2/2023, , ,4,1,3,,
Pax2-Cre; B6N-Cdh23 KI,1201,11/17/2022, , , , ,1125,10/31/2022, , , ,2/4/2023, , ,7,3,4,,
Pax2-Cre; B6N-Cdh23 KI,1491,12/31/2022,1492,12/31/2022, , ,1404,2/2/2023, , , ,4/12/2023, , ,8,0,8,,
Pax2-Cre; B6N-Cdh23 KI,1491,12/31/2022,1492,12/31/2022, , ,1404,2/2/2023, , , ,5/24/2023, , ,4,0,4,,
Pax2-Cre; B6N-Cdh23 KI,1491,12/31/2022,1492,12/31/2022, , ,1404,2/2/2023, , , ,8/4/2023, , ,3,0,3,,
Pax2-Cre; B6N-Cdh23 KI,1778,5/21/2023, , , , ,1704,4/12/2023, , , ,9/14/2023, , ,4,0,4,,
Pax2-Cre; B6N-Cdh23 KI,1779,5/21/2023, , , , ,1710,4/13/2023, , , ,8/11/2023, , ,2,0,2,,
Pax2-Cre; B6N-Cdh23 KI,1779,5/21/2023, , , , ,1710,4/13/2023, , , ,9/21/2023, , ,4,0,4,,
Pax2-Cre; B6N-Cdh23 KI,1779,5/21/2023, , , , ,1710,4/13/2023, , , ,12/25/2023, , ,1,0,1,,
Pax2-Cre; B6N-Cdh23 KI,2237,10/30/2023,2238,10/30/2023, , ,2067,9/21/2023, , ,1/9/2024,1/30/2024,7,2/21/2024,7,6,1,,
Pax2-Cre; B6N-Cdh23 KI,2237,10/30/2023,2238,10/30/2023, , ,2067,9/21/2023, , ,1/9/2024,3/17/2024,13,4/12/2024,13,5,8,,
Pax2-Cre; B6N-Cdh23 KI,2237,10/30/2023,2238,10/30/2023, , ,2067,9/21/2023, , ,1/9/2024,5/4/2024,2,Found Dead,Found Dead,,,,
Pax2-Cre; B6N-Cdh23 KI,2237,10/30/2023,2238,10/30/2023, , ,2067,9/21/2023, , ,1/9/2024,2/4/2024,7,2/26/2024,4,0,4,,
Pax2-Cre; B6N-Cdh23 KI,2239,7/13/2023, , , , ,2056,8/4/2023, , ,11/2/2023,11/24/2023,6, ,2,0,2,,
Pax2-Cre; B6N-Cdh23 KI,2239,7/13/2023, , , , ,2056,8/4/2023, , ,11/2/2023,4/3/2024,2,4/26/2024,2,2,0,,
Pax2-Cre; B6N-Cdh23 KI,2239,7/13/2023, , , , ,2056,8/4/2023, , ,11/2/2023,2/17/2024,10,3/10/2024,10,6,4,,
Pax2-Cre; B6N-Cdh23 KI,2239,7/13/2023, , , , ,2056,8/4/2023, , ,11/2/2023,1/2/2024,12,1/26/2024,5,0,5,,
Pax2-Cre; Myd88-loxp,1021,9/8/2022, , , , ,1028,9/8/2022, , , ,12/12/2022, , ,7,1,6,,
Pax2-Cre; Myd88-loxp,1021,9/8/2022, , , , ,1028,9/8/2022, , , ,1/26/2023, , ,6,6,0,,
Pax2-Cre; Myd88-loxp,1030,9/25/2022,1035,9/25/2022, , ,1036,9/25/2022, , , ,1/7/2023, , ,8,6,2,,
Pax2-Cre; Myd88-loxp,1030,9/25/2022,1035,9/25/2022, , ,1036,9/25/2022, , , ,2/15/2023, , ,6,3,3,,
Pax2-Cre; Myd88-loxp,1030,9/25/2022, , , , ,1036,9/25/2022, , , ,12/16/2022, , ,6,4,2,,
Pax2-Cre; Myd88-loxp,1272,1/7/2023,1273,1/7/2023, , ,1277,1/7/2023, , , ,6/21/2023, , ,6,4,2,,
Pax2-Cre; Myd88-loxp,1272,1/7/2023,1273,1/7/2023, , ,1277,1/7/2023, , , ,7/1/2023, , ,3,0,3,,
Pax2-Cre; Myd88-loxp,1272,1/7/2023,1273,1/7/2023, , ,1277,1/7/2023, , , ,8/11/2023, , ,3,1,2,,
Pax2-Cre; Myd88-loxp,1272,1/7/2023,1273,1/7/2023, , ,1277,1/7/2023, , , ,9/24/2023, , ,4,3,1,,
Pax2-Cre; Myd88-loxp,1272,1/7/2023,1273,1/7/2023, , ,1277,1/7/2023, , , ,9/27/2023, , ,6,5,1,,
Pax2-Cre; Myd88-loxp,1272,1/7/2023,1273,1/7/2023, , ,1277,1/7/2023, , , ,11/19/2023, , ,4,2,2,,
Pax2-Cre; Td-Tomato,1050,8/25/2022,1051,8/25/2022, , ,857, , , , ,11/30/2022, , ,17,8,9,,
Pax2-Cre; Td-Tomato,1050,8/25/2022,1051,8/25/2022, , ,857, , , , ,4/24/2023, , ,6,3,3,,
Pax2-Cre; Td-Tomato,1050,8/25/2022,1051,8/25/2022, , ,857, , , , ,3/6/2023, , ,10,6,4,,
Pax2-Cre; Td-Tomato,1050,8/25/2022,1051,8/25/2022, , ,857, , , , ,12/19/2022, , ,5,4,1,,
Pax2-Cre; Td-Tomato,1098,11/30/2022,1099,11/30/2022, , ,1111,11/30/2022, , , ,3/1/2023, ,3/27/2023,7,3,4,,
Pax2-Cre; Td-Tomato,1098,11/30/2022, , , , ,1111,11/30/2022, , , ,2/7/2023, , ,11,4,7,,
Pax2-Cre; Td-Tomato,1303,12/27/2022, , , , ,1364,2/7/2023, , , ,6/30/2023, , ,3,2,1,,
Pax2-Cre; Td-Tomato,1362,2/7/2023, , , , ,1366,2/7/2023, , , ,8/7/2023, , ,5,4,1,,
Pax2-Cre; Td-Tomato,1362,2/7/2023, , , , ,1366,2/7/2023, , , ,9/24/2023, , ,8,4,4,,
Pax2-Cre; Td-Tomato,1363,2/7/2023, , , , ,1364,2/7/2023, , , ,8/8/2023, , ,4,3,1,,
Pax2-Cre; Td-Tomato,2020,8/7/2023, , , , ,2035,9/24/2023, , , ,11/30/2023,5,12/22/2023,5, , ,,
Pax2-Cre; Td-Tomato,2020,8/7/2023, , , , ,2035,9/24/2023, , , ,12/31/2023,2,1/26/2024,2, , ,,
Pax2-Cre; Td-Tomato,2020,8/7/2023, , , , ,2035,9/24/2023, , , ,1/15/2024,5,2/6/2024,5, , ,,
Pax2-Cre; Td-Tomato,2020,8/7/2023, , , , ,2035,9/24/2023, , , ,2/12/2024,4,3/5/2024,4, , ,,
Pax2-Cre; Td-Tomato,2020,8/7/2023, , , , ,2035,9/24/2023, , , ,3/4/2024,2,Missing,Missing, , ,,
Pax2-Cre; Td-Tomato,2020,8/7/2023, , , , ,2035,9/24/2023, , , ,3/24/2024,4,4/16/2024,3,0,3,,
Pax2-Cre; Tlr4-loxp,791, , , , , ,797, , , , ,11/5/2022, , ,8,3,5,,
Pax2-Cre; Tlr4-loxp,826, ,827, ,828, ,798, ,941,8/25/2022, ,10/24/2022, , ,7,3,4,,
Pax2-Cre; Tlr4-loxp,826, ,827, ,828, ,798, ,941,8/25/2022, ,11/7/2022, , ,15,5,10,,
Pax2-Cre; Tlr4-loxp,826, ,827, ,828, ,798, ,941,8/25/2022, ,12/29/2022, , ,10,6,4,,
Pax2-Cre; Tlr4-loxp,826, ,827, ,828, ,798, ,941,8/25/2022, ,12/16/2022, , ,10,3,7,,
Pax2-Cre; Tlr4-loxp,943,9/25/2022, , , , ,962,10/1/2022, , , ,12/20/2022, , ,7,5,2,,
Pax2-Cre; Tlr4-loxp,1073,11/5/2022,1074,11/5/2022, , ,1091,11/7/2022, , , ,2/5/2023, , ,8,4,4,,
Pax2-Cre; Tlr4-loxp,1073,11/5/2022,1074,11/5/2022, , ,1091,11/7/2022, , , ,2/7/2023, , ,10,6,4,,
Pax2-Cre; Tlr4-loxp,1083,11/7/2022, , , , ,1085,11/7/2022, , , ,2/6/2023, , ,6,4,2,,
Pax2-Cre; Tlr4-loxp,1432,2/6/2023,1433,2/6/2023, , ,1436,2/6/2023, , , ,7/1/2023, , ,5,3,2,,
Pax2-Cre; Tlr4-loxp,1432,2/6/2023,1433,2/6/2023, , ,1436,2/6/2023, , , ,8/30/2023, , ,7,2,5,,
Pax2-Cre; Tlr4-loxp,1432,2/6/2023,1433,2/6/2023, , ,1436,2/6/2023, , , ,9/8/2023, , ,6,4,2,,
Pax2-Cre; Tlr4-loxp,1432,2/6/2023,1433,2/6/2023, , ,1436,2/6/2023, , , ,7/20/2023, , ,3,2,1,,
Pax2-Cre; Tlr4-loxp,1442,2/7/2023,1443,2/7/2023, , ,1445,2/7/2023, , , ,8/10/2023, , ,9,3,6,,
Pax2-Cre; Tlr4-loxp,2199,8/14/2023, , , , ,2173,10/18/2023, , , ,1/27/2024, , ,10,3,7,,
Pax2-Cre; Tlr4-loxp; Cdh23 KI,858, ,860, , , ,Cdh23 KI/KI, , , , ,11/18/2022, , ,10,5,5,,
Pax2-Cre; Tlr4-loxp; Cdh23 KI,2004,7/1/2023,2005,7/1/2023, , ,1704,4/12/2023, , ,9/22/2023,10/18/2023,17,11/10/2023,13,7,6,,
Pax2-Cre; Tlr4-loxp; Cdh23 KI,2004,7/1/2023, , , , ,1704,4/12/2023, , ,9/22/2023,11/24/2023,10,12/22/2023,4,0,4,,
Pax2-Cre; Tlr4-loxp; Cdh23 KI,2004,7/1/2023,2005,7/1/2023, , ,1704,4/12/2023, , ,9/22/2023,3/9/2024,5,3/28/2024,5,2,3,,
Pax2-Cre; Tlr4-loxp; Cdh23 KI,2004,7/1/2023,2005,7/1/2023, , ,1704,4/12/2023, , ,9/22/2023,4/6/2024,5,4/22/2024,5,4,1,,
Pax2-Cre; Tlr4-loxp; Cdh23 KI,2004,7/1/2023, , , , ,1704,4/12/2023, , ,9/22/2023,1/24/2024,4, ,4,3,1,,
Pax2-Cre; Tlr4-loxp; Cdh23 KI,2004,7/1/2023, , , , ,1704,4/12/2023, , ,9/22/2023,5/13/2024,3,6/7/2024,2,0,,,
Pax2-Cre; Tlr4-loxp; Cdh23 KI,2005,7/1/2023, , , , ,2060,9/14/2023, , ,11/10/2023,12/2/2023,6,12/28/2023,2,0,2,,
